id,encabezados_h1_ia,encabezados_h1_humano,diferencia_encabezados_h1,encabezados_h2_ia,encabezados_h2_humano,diferencia_encabezados_h2,encabezados_h3_ia,encabezados_h3_humano,diferencia_encabezados_h3,landmarks_ia,landmarks_humano,diferencia_landmarks,etiquetas_ia,etiquetas_humano,diferencia_etiquetas,parrafos_ia,parrafos_humano,diferencia_parrafos,coincidencias_exactas_parrafos,coincidencias_aproximadas_parrafos,parrafos_ia_sin_coincidencia,parrafos_humanos_sin_coincidencia,listas_ia,listas_humano,diferencia_listas
01,1,1,0,3,3,0,3,0,3,0,2,-2,0,0,0,3,5,-2,0,1,2,4,4,0,4
02,0,1,-1,0,1,-1,0,0,0,0,3,-3,0,1,-1,7,1,6,0,1,6,0,0,4,-4
03,0,1,-1,0,1,-1,0,0,0,0,0,0,0,0,0,2,1,1,1,0,1,0,0,0,0
04,0,1,-1,0,3,-3,0,0,0,0,0,0,3,3,0,3,1,2,1,0,2,0,3,4,-1
05,0,1,-1,0,2,-2,0,0,0,0,0,0,0,0,0,4,3,1,0,0,4,3,0,0,0
06,0,1,-1,0,2,-2,0,0,0,0,0,0,0,0,0,4,2,2,1,0,3,1,0,0,0
07,0,1,-1,0,3,-3,0,0,0,0,2,-2,3,0,3,3,2,1,0,1,2,1,2,2,0
08,0,1,-1,0,3,-3,0,0,0,0,3,-3,0,0,0,12,5,7,2,2,8,1,0,1,-1
09,0,1,-1,0,3,-3,0,0,0,0,0,0,2,0,2,4,2,2,1,1,2,0,0,1,-1
10,0,1,-1,0,3,-3,0,0,0,0,0,0,2,3,-1,8,3,5,1,1,6,1,2,4,-2
11,0,1,-1,0,4,-4,0,0,0,0,0,0,3,0,3,11,6,5,3,3,5,0,1,1,0
12,0,1,-1,0,1,-1,0,0,0,0,0,0,0,0,0,3,1,2,0,0,3,1,0,1,-1
13,0,1,-1,0,2,-2,0,0,0,0,0,0,0,0,0,8,5,3,2,2,4,1,0,0,0
14,0,1,-1,0,3,-3,0,0,0,0,2,-2,6,2,4,4,7,-3,3,0,1,4,1,0,1
15,0,1,-1,0,3,-3,0,0,0,0,0,0,0,0,0,5,6,-1,1,1,3,4,1,1,0
16,0,1,-1,0,3,-3,0,0,0,0,0,0,3,0,3,3,3,0,0,0,3,3,0,2,-2
17,0,1,-1,0,2,-2,0,0,0,0,0,0,2,0,2,4,3,1,2,0,2,1,0,0,0
18,0,1,-1,0,2,-2,0,0,0,0,3,-3,2,2,0,5,4,1,1,1,3,2,0,0,0
19,0,1,-1,0,2,-2,0,0,0,0,0,0,0,0,0,7,5,2,4,0,3,1,0,1,-1
20,0,1,-1,0,1,-1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
21,0,1,-1,0,3,-3,0,0,0,0,2,-2,0,3,-3,6,5,1,1,0,5,4,3,1,2
22,0,1,-1,0,2,-2,0,0,0,0,2,-2,2,2,0,4,5,-1,0,3,1,2,0,1,-1
23,0,1,-1,0,2,-2,0,0,0,0,3,-3,0,2,-2,1,3,-2,0,0,1,3,7,4,3
24,0,1,-1,0,3,-3,0,0,0,0,7,-7,2,0,2,2,4,-2,0,0,2,4,5,4,1
25,0,1,-1,0,2,-2,0,0,0,0,3,-3,0,3,-3,12,9,3,1,1,10,7,9,1,8
26,0,1,-1,0,2,-2,0,0,0,0,3,-3,0,3,-3,6,5,1,0,0,6,5,3,0,3
27,0,1,-1,0,1,-1,0,0,0,0,0,0,0,0,0,5,1,4,0,0,5,1,0,1,-1
28,0,1,-1,0,1,-1,0,0,0,0,0,0,0,0,0,7,1,6,0,0,7,1,0,1,-1
29,0,1,-1,0,2,-2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,2,0,1,-1
30,0,1,-1,0,1,-1,0,0,0,0,0,0,0,0,0,5,2,3,0,0,5,2,0,0,0
31,0,1,-1,0,2,-2,0,0,0,0,2,-2,0,0,0,7,7,0,2,2,3,3,1,1,0
32,0,1,-1,0,2,-2,0,0,0,0,0,0,5,4,1,5,4,1,2,2,1,0,0,1,-1
33,0,1,-1,0,2,-2,0,0,0,0,0,0,0,3,-3,5,4,1,0,2,3,2,1,1,0
34,0,1,-1,0,1,-1,0,0,0,0,2,-2,0,0,0,3,4,-1,1,1,1,2,0,0,0
35,0,1,-1,0,3,-3,0,0,0,0,2,-2,6,2,4,5,4,1,0,1,4,3,0,1,-1
36,0,1,-1,0,2,-2,0,0,0,0,3,-3,0,3,-3,6,5,1,0,1,5,4,0,1,-1
37,0,1,-1,0,1,-1,0,0,0,0,0,0,0,0,0,1,3,-2,0,0,1,3,0,0,0
38,0,1,-1,0,2,-2,0,0,0,0,0,0,0,2,-2,7,2,5,0,0,7,2,0,1,-1
39,0,1,-1,0,1,-1,0,0,0,0,0,0,0,0,0,3,2,1,0,2,1,0,0,0,0
40,0,1,-1,0,2,-2,0,0,0,0,5,-5,0,5,-5,7,0,7,0,0,7,0,5,6,-1
41,0,1,-1,0,1,-1,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0
42,0,1,-1,0,2,-2,0,0,0,0,2,-2,0,4,-4,9,8,1,0,0,9,8,5,1,4
43,0,1,-1,0,1,-1,0,0,0,0,0,0,0,4,-4,6,5,1,1,4,1,0,2,2,0
44,0,1,-1,0,1,-1,0,0,0,0,0,0,0,1,-1,3,2,1,1,0,2,1,0,0,0
45,0,1,-1,0,2,-2,0,0,0,0,0,0,4,2,2,7,4,3,2,1,4,1,0,1,-1
46,0,1,-1,0,1,-1,0,0,0,0,0,0,1,6,-5,0,0,0,0,0,0,0,6,6,0
47,0,1,-1,0,2,-2,0,0,0,0,2,-2,0,2,-2,7,7,0,1,1,5,5,0,1,-1
48,0,1,-1,0,2,-2,0,0,0,0,3,-3,5,2,3,12,5,7,0,4,8,1,0,0,0
49,0,1,-1,0,1,-1,0,0,0,0,0,0,0,3,-3,4,4,0,0,2,2,2,0,0,0
50,0,1,-1,0,2,-2,0,0,0,0,0,0,0,0,0,4,2,2,0,1,3,1,1,1,0
51,0,1,-1,0,1,-1,0,0,0,0,3,-3,3,3,0,1,0,1,0,0,1,0,3,3,0
52,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,1,-1
53,0,1,-1,0,1,-1,0,0,0,0,2,-2,3,0,3,0,2,-2,0,0,0,2,2,2,0
